Panel,SGDP_ID,Population_ID,Region,Country,Latitude,Longitude,Coverage,Sample_ID,URL
C,S_Yoruba-1,Yoruba,Africa,Nigeria,7.4,3.9,34,HGDP00928,
C,S_BantuHerero-2,BantuHerero,Africa,BotswanaOrNamibia,-22,19,39,HGDP01035,
C,S_Khomani_San-2,Khomani_San,Africa,SouthAfrica,-27,20.8,48,SA0722,
C,S_Mongola-2,Mongola,CentralAsiaSiberia,China,45,111,42,HGDP01223,
C,S_Tlingit-1,Tlingit,CentralAsiaSiberia,Russia,53,158.65,43,Ale32,
C,S_Eskimo_Sireniki-2,Eskimo_Sireniki,CentralAsiaSiberia,Russia,64.4,173.9,47,Sir40,
C,S_Dai-1,Dai,EastAsia,China,21,100,46,HGDP01314,
C,S_Cambodian-2,Cambodian,EastAsia,Cambodia,12,105,37,HGDP00713,
C,S_Han-1,Han,EastAsia,China,32.3,114,64,HGDP00783,
C,S_Papuan-1,Papuan,Oceania,PapuaNewGuinea,-4,143,41,HGDP00550,
C,S_Maori-1,Maori,Oceania,New Zealand,-41.3,174.5,34,NA17386,
C,B-Australian-4,Australian,Oceania,Australia,-13,143,32,IHW9193,
C,S_French-2,French,WestEurasia,France,46,2,27,HGDP00526,
C,S_Hungarian-2,Hungarian,WestEurasia,Hungary,47.5,9.1,39,NA15202,
C,S_Greek-1,Greek,WestEurasia,Greece,38,23.7,36,NA17377,
