drs_uri,name,gender,library_id,reference_genome,sample_id,case_id,investigation,experimental_strategy,sample_type,platform
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7a8,LP6005443-DNA_D02.annotated.nh.vcf.gz.tbi,Male,LP6005443-DNA_D02,hs37d5,HGDP00951,S_Yakut-2,SGDP-Yakut,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7a9,LP6005443-DNA_A12.srt.aln.bam.bai,Male,LP6005443-DNA_A12,hs37d5,zapo0098,S_Zapotec-1,SGDP-Zapotec,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7aa,LP6005441-DNA_E08.annotated.nh.vcf.gz.tbi,Male,LP6005441-DNA_E08,hs37d5,HGDP01228,S_Mongola-1,SGDP-Mongola,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7ab,LP6005519-DNA_A04.annotated.nh.vcf.gz,Male,LP6005519-DNA_A04,hs37d5,K1,S_Kapu-1,SGDP-Kapu,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7ac,SS6004468.annotated.nh.vcf.gz.tbi,Male,SS6004468,hs37d5,HGDP00533,B_French-3,SGDP-French,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7ad,LP6005441-DNA_G06.annotated.nh.vcf.gz,Male,LP6005441-DNA_G06,hs37d5,HGDP01012,S_Karitiana-1,SGDP-Karitiana,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7ae,LP6005443-DNA_E11.annotated.nh.vcf.gz.tbi,Female,LP6005443-DNA_E11,hs37d5,mixe0002,S_Mixe-2,SGDP-Mixe,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7af,LP6005519-DNA_G03.annotated.nh.vcf.gz.tbi,Male,LP6005519-DNA_G03,hs37d5,B11,S_Brahmin-1,SGDP-Brahmin,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7b0,LP6005442-DNA_F01.annotated.nh.vcf.gz.tbi,Female,LP6005442-DNA_F01,hs37d5,HGDP00956,S_Yakut-1,SGDP-Yakut,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7b1,LP6005519-DNA_B05.annotated.nh.vcf.gz,Male,LP6005519-DNA_B05,hs37d5,R6,S_Relli-2,SGDP-Relli,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7b2,LP6005443-DNA_G04.annotated.nh.vcf.gz.tbi,Female,LP6005443-DNA_G04,hs37d5,Mansi41,S_Mansi-2,SGDP-Mansi,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7b3,LP6005443-DNA_E06.srt.aln.bam.bai,Male,LP6005443-DNA_E06,hs37d5,NA21581,S_Masai-2,SGDP-Masai,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7b4,LP6005677-DNA_E01.annotated.nh.vcf.gz,Male,LP6005677-DNA_E01,hs37d5,NA11200,S_Quechua-2,SGDP-Quechua,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7b5,LP6005519-DNA_C06.annotated.nh.vcf.gz,Female,LP6005519-DNA_C06,hs37d5,Igor20,S_Igorot-1,SGDP-Igorot,WGS,Genomic_from_saliva,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7b6,LP6005442-DNA_D08.annotated.nh.vcf.gz,Female,LP6005442-DNA_D08,hs37d5,NA15761,S_Icelandic-1,SGDP-Icelandic,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7b7,LP6005441-DNA_H07.annotated.nh.vcf.gz,Female,LP6005441-DNA_H07,hs37d5,HGDP00857,S_Mayan-2,SGDP-Mayan,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7b8,LP6005592-DNA_F03.srt.aln.bam,Female,LP6005592-DNA_F03,hs37d5,Nlk1,S_Even-1,SGDP-Even,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7b9,LP6005442-DNA_G10.annotated.nh.vcf.gz.tbi,Male,LP6005442-DNA_G10,hs37d5,HG02464,S_Gambian-1,SGDP-Gambian,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7ba,LP6005441-DNA_B06.annotated.nh.vcf.gz.tbi,Female,LP6005441-DNA_B06,hs37d5,HGDP01172,S_Bergamo-2,SGDP-Bergamo,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7bb,LP6005442-DNA_C07.annotated.nh.vcf.gz,Male,LP6005442-DNA_C07,hs37d5,NA13607,S_Ami-1,SGDP-Ami,WGS,Genomic_from_cell_lines,Illumina
