IID	PC1	PC2
LP6005441-DNA_A01	0.0461309	0.0447696
LP6005441-DNA_A03	0.0423581	-0.0371313
LP6005441-DNA_A04	0.0659559	-0.0619431
LP6005441-DNA_A05	0.0437674	0.0491167
LP6005441-DNA_A06	0.0454959	0.0500407
LP6005441-DNA_A08	-0.293186	-0.00268877
LP6005441-DNA_A09	0.0581901	-0.0543249
LP6005441-DNA_A10	0.0354485	-0.0443145
LP6005441-DNA_A11	-0.313182	-0.257359
LP6005441-DNA_A12	0.0661749	-0.0619373
LP6005441-DNA_B01	0.0491369	0.038048
LP6005441-DNA_B02	-0.21472	0.0967369
LP6005441-DNA_B03	0.0428954	-0.0368327
LP6005441-DNA_B04	0.0628098	-0.0602765
LP6005441-DNA_B05	0.0477089	0.0433428
LP6005441-DNA_B06	0.0420787	0.051557
LP6005441-DNA_B07	0.0537511	-0.0617712
LP6005441-DNA_B08	-0.311819	0.0168418
LP6005441-DNA_B09	0.058615	-0.0596987
LP6005441-DNA_B10	0.0433753	-0.036485
LP6005441-DNA_B11	-0.315584	-0.290979
LP6005441-DNA_B12	0.0660129	-0.0629896
LP6005441-DNA_C01	0.0419021	0.0281515
LP6005441-DNA_C02	0.0412362	0.0424876
LP6005441-DNA_C03	0.0421041	0.0323365
LP6005441-DNA_C05	0.0586551	-0.0610941
LP6005441-DNA_C06	0.0596407	-0.0588379
LP6005441-DNA_C07	0.0366554	0.0395753
LP6005441-DNA_C08	0.0606526	-0.0588004
LP6005441-DNA_C09	0.0438818	0.0473914
LP6005441-DNA_C10	0.0386317	0.0325588
LP6005441-DNA_C11	0.0488514	0.0535701
LP6005441-DNA_D01	0.0349116	0.0329159
LP6005441-DNA_D02	0.0441529	0.0503097
LP6005441-DNA_D03	0.0382123	0.0361739
LP6005441-DNA_D04	0.0574342	-0.0627492
LP6005441-DNA_D05	0.0613783	-0.0597934
LP6005441-DNA_D06	0.0607382	-0.057326
LP6005441-DNA_D07	0.0281926	0.0426569
LP6005441-DNA_D08	0.0628154	-0.0613856
LP6005441-DNA_D09	0.0479661	0.042759
LP6005441-DNA_D10	0.0364396	0.0249799
LP6005441-DNA_D11	0.0436757	0.0475652
LP6005441-DNA_D12	0.0554591	-0.0545052
LP6005441-DNA_E02	0.0228878	0.0527328
LP6005441-DNA_E03	0.0497326	0.0148228
LP6005441-DNA_E05	0.0581799	-0.0120241
LP6005441-DNA_E06	0.0419109	0.0338145
LP6005441-DNA_E07	-0.224431	0.123418
LP6005441-DNA_E08	0.0580036	-0.0524936
LP6005441-DNA_E09	0.0590357	-0.0616116
LP6005441-DNA_E10	0.0604542	-0.0613894
LP6005441-DNA_F01	-0.253627	0.0912
LP6005441-DNA_F02	0.0271753	0.0607829
LP6005441-DNA_F03	0.0366339	0.0220564
LP6005441-DNA_F04	0.0562636	-0.0587069
LP6005441-DNA_F05	0.049771	-0.00765725
LP6005441-DNA_F06	0.0444619	0.0229209
LP6005441-DNA_F07	-0.227931	0.123806
LP6005441-DNA_F08	0.0581247	-0.0558107
LP6005441-DNA_F09	0.0544594	-0.0534989
LP6005441-DNA_F10	0.0631221	-0.0592656
LP6005441-DNA_F12	0.0591947	-0.0535118
LP6005441-DNA_G02	-0.272581	0.0409865
LP6005441-DNA_G03	0.0558934	-0.055796
LP6005441-DNA_G04	0.0349413	0.0494763
LP6005441-DNA_G05	0.058073	-0.0610263
LP6005441-DNA_G06	0.0635179	-0.0620734
LP6005441-DNA_G07	0.0602282	-0.057837
LP6005441-DNA_G08	-0.00550997	0.0686772
LP6005441-DNA_G09	0.0255963	0.0534485
LP6005441-DNA_G10	0.0496751	0.0424288
LP6005441-DNA_G11	0.0391572	0.0265938
LP6005441-DNA_G12	0.04442	0.0482578
LP6005441-DNA_H02	-0.285679	0.063268
LP6005441-DNA_H03	0.0526934	-0.0436268
LP6005441-DNA_H05	0.0558023	-0.0621073
LP6005441-DNA_H06	0.0646279	-0.0675993
LP6005441-DNA_H07	0.0640269	-0.0624584
LP6005441-DNA_H08	-0.02794	0.0687898
LP6005441-DNA_H09	0.0272275	0.0516881
LP6005441-DNA_H10	0.0447704	0.0400796
LP6005441-DNA_H11	0.043883	0.0198826
LP6005441-DNA_H12	0.0417977	0.0493215
LP6005442-DNA_A02	-0.23603	0.126302
LP6005442-DNA_A03	0.0453581	0.0451962
LP6005442-DNA_A04	0.0414673	0.0486546
LP6005442-DNA_A08	0.0436516	0.0492389
LP6005442-DNA_A10	-0.233281	0.118396
LP6005442-DNA_A11	0.0442388	0.0465767
LP6005442-DNA_A12	0.0371519	0.00838952
LP6005442-DNA_B01	0.0522841	-0.012308
LP6005442-DNA_B02	-0.245444	0.130806
LP6005442-DNA_B03	0.0440108	0.0420584
LP6005442-DNA_B04	0.0417342	0.0467509
LP6005442-DNA_B08	0.0453126	0.0461041
LP6005442-DNA_B10	-0.228737	0.0988464
LP6005442-DNA_B11	0.0411643	0.0509765
LP6005442-DNA_B12	0.0362368	0.0163446
LP6005442-DNA_C02	0.0472065	0.044528
LP6005442-DNA_C04	0.0344302	0.0389682
LP6005442-DNA_C07	0.0567914	-0.0596968
LP6005442-DNA_C10	0.0448244	0.042732
LP6005442-DNA_G12	0.0654479	-0.0634048
LP6005443-DNA_D02	0.0550619	-0.0506174
LP6005443-DNA_D06	0.0603392	-0.0557937
LP6005443-DNA_D07	0.0456333	-0.0435172
LP6005443-DNA_F06	-0.147232	0.0716479
LP6005443-DNA_G03	0.0607958	-0.0604144
LP6005519-DNA_A06	0.0548468	-0.0431307
LP6005519-DNA_B06	0.0550467	-0.0545764
LP6005519-DNA_F06	0.0539726	-0.0537418
LP6005519-DNA_H03	0.0379243	0.0218502
LP6005592-DNA_A02	0.0472468	0.0413405
LP6005592-DNA_B01	0.0459699	0.0500783
LP6005592-DNA_B03	0.0267891	0.054528
LP6005592-DNA_C01	0.0483112	0.0218982
LP6005592-DNA_C02	0.0510146	-0.0566956
LP6005592-DNA_C03	-0.305074	-0.00302114
LP6005592-DNA_C05	-0.317242	-0.266484
LP6005592-DNA_D01	0.0513918	0.0161974
LP6005592-DNA_D03	0.0579034	-0.0603381
LP6005592-DNA_D04	0.0391665	0.0551869
LP6005592-DNA_E01	0.0407537	0.0569132
LP6005592-DNA_E02	0.0476495	0.0460505
LP6005592-DNA_F01	0.0411	0.0460249
LP6005592-DNA_F03	0.0584957	-0.0410804
LP6005592-DNA_G01	0.0243836	0.0560221
LP6005592-DNA_G03	0.0251726	0.0579841
LP6005592-DNA_H01	0.0221552	0.0620631
LP6005592-DNA_H03	0.0487706	-0.055811
LP6005619-DNA_B01	-0.0086165	0.0591202
LP6005619-DNA_C01	-0.0212742	0.0655536
LP6005677-DNA_A02	0.0574246	-0.026804
