IID	PC1	PC2
LP6005441-DNA_A01	-0.0843247	-0.0102434
LP6005441-DNA_A03	0.0636907	-0.00452022
LP6005441-DNA_A04	0.0830256	-0.0860972
LP6005441-DNA_A05	-0.117277	-0.0166636
LP6005441-DNA_A06	-0.115551	0.0020914
LP6005441-DNA_A08	0.07065	0.183717
LP6005441-DNA_A09	0.0843486	-0.0374045
LP6005441-DNA_A10	0.0543764	-0.0174807
LP6005441-DNA_A11	0.0632517	0.211103
LP6005441-DNA_A12	0.0755457	-0.130009
LP6005441-DNA_B01	-0.0709369	-0.0238119
LP6005441-DNA_B02	0.074288	0.170231
LP6005441-DNA_B03	0.0740941	0.00289266
LP6005441-DNA_B04	0.0767849	-0.0979371
LP6005441-DNA_B05	-0.104749	0.0184929
LP6005441-DNA_B06	-0.126357	-0.0180202
LP6005441-DNA_B07	0.101471	-0.051389
LP6005441-DNA_B08	0.0732205	0.199231
LP6005441-DNA_B09	0.0925935	-0.0793563
LP6005441-DNA_B10	0.0434184	-0.0107828
LP6005441-DNA_B11	0.0557162	0.19753
LP6005441-DNA_B12	0.0862497	-0.106667
LP6005441-DNA_C01	-0.0520722	-0.0230998
LP6005441-DNA_C02	-0.135151	0.0034764
LP6005441-DNA_C03	-0.0370399	0.00261309
LP6005441-DNA_C05	0.0975548	-0.0676938
LP6005441-DNA_C06	0.11112	-0.077377
LP6005441-DNA_C07	-0.00952954	0.017553
LP6005441-DNA_C08	0.123279	-0.067654
LP6005441-DNA_C09	-0.160104	-0.0177283
LP6005441-DNA_C10	-0.0452499	0.0104692
LP6005441-DNA_C11	-0.117975	0.0058025
LP6005441-DNA_D01	-0.0296475	0.0135993
LP6005441-DNA_D02	-0.133451	-0.0177211
LP6005441-DNA_D03	-0.0224327	-0.00296092
LP6005441-DNA_D04	0.092603	-0.0659581
LP6005441-DNA_D05	0.0930605	-0.0809731
LP6005441-DNA_D06	0.112798	-0.0618101
LP6005441-DNA_D07	-0.0641531	0.00411748
LP6005441-DNA_D08	0.0877113	-0.0549938
LP6005441-DNA_D09	-0.118004	-0.00568741
LP6005441-DNA_D10	-0.0795707	0.0191486
LP6005441-DNA_D11	-0.125472	-0.0148674
LP6005441-DNA_D12	0.0640134	-0.0375046
LP6005441-DNA_E02	-0.060757	0.0376456
LP6005441-DNA_E03	-0.00651983	-0.0349275
LP6005441-DNA_E05	0.0285713	-0.032113
LP6005441-DNA_E06	-0.0730286	-0.0473647
LP6005441-DNA_E07	0.0565554	0.17004
LP6005441-DNA_E08	0.0684446	-0.0651509
LP6005441-DNA_E09	0.0990857	-0.0628297
LP6005441-DNA_E10	0.0665821	-0.0881861
LP6005441-DNA_F01	0.0678054	0.204087
LP6005441-DNA_F02	-0.0173012	0.0423749
LP6005441-DNA_F03	-0.0763533	-0.0148346
LP6005441-DNA_F04	0.0895923	-0.0545031
LP6005441-DNA_F05	0.0383602	-0.0348815
LP6005441-DNA_F06	-0.0455346	-0.00160566
LP6005441-DNA_F07	0.0640524	0.186684
LP6005441-DNA_F08	0.088588	-0.0464407
