IID	PC1	PC2
LP6005441-DNA_A01	0.0315116	0.0469938
LP6005441-DNA_A03	0.0263885	-0.0468881
LP6005441-DNA_A04	0.0455461	-0.0719531
LP6005441-DNA_A05	0.0305808	0.0521146
LP6005441-DNA_A06	0.0299003	0.0539324
LP6005441-DNA_A08	-0.241552	-0.000577806
LP6005441-DNA_A09	0.0390851	-0.0689931
LP6005441-DNA_A10	0.0242498	-0.043074
LP6005441-DNA_A11	-0.258121	-0.321727
LP6005441-DNA_A12	0.0470328	-0.0740194
LP6005441-DNA_B01	0.0307567	0.0458438
LP6005441-DNA_B02	-0.178227	0.133798
LP6005441-DNA_B03	0.026811	-0.0467316
LP6005441-DNA_B04	0.0461603	-0.0727082
LP6005441-DNA_B05	0.0311045	0.0514298
LP6005441-DNA_B06	0.0304231	0.0541985
LP6005441-DNA_B07	0.0386761	-0.0680199
LP6005441-DNA_B08	-0.245074	-0.00134006
LP6005441-DNA_B09	0.039368	-0.0691095
LP6005441-DNA_B10	0.0242664	-0.0425009
LP6005441-DNA_B11	-0.258255	-0.321553
LP6005441-DNA_B12	0.0467077	-0.0727563
LP6005441-DNA_C01	0.0265935	0.0303174
LP6005441-DNA_C02	0.0305304	0.0535829
LP6005441-DNA_C03	0.0277482	0.0331505
LP6005441-DNA_C05	0.0403918	-0.0718904
LP6005441-DNA_C06	0.0407816	-0.0723865
LP6005441-DNA_C07	0.024674	0.0408333
LP6005441-DNA_C08	0.040205	-0.0714583
LP6005441-DNA_C09	0.0305721	0.0504557
LP6005441-DNA_C10	0.02968	0.0278951
LP6005441-DNA_C11	0.0279196	0.0606194
LP6005441-DNA_D01	0.0266643	0.0351142
LP6005441-DNA_D02	0.0299503	0.0546169
LP6005441-DNA_D03	0.0241379	0.0377702
LP6005441-DNA_D04	0.0388218	-0.0690614
LP6005441-DNA_D05	0.0411566	-0.0720311
LP6005441-DNA_D06	0.0402356	-0.0709519
LP6005441-DNA_D07	0.0209534	0.0434756
LP6005441-DNA_D08	0.0404034	-0.0726966
