gene	ensembl_id	chrom	start_hg38	end_hg38	start_hg19	end_hg19	strand	biotype	length_hg38	sources	n_sources	in_network	status	notes
ABCA12	ENSG00000144452	2	214931542	215138626	215796266	216003151	-1	protein_coding	207084	baxter	1		ok	
ABCB6	ENSG00000115657	2	219209765	219219012	220074490	220083712	-1	protein_coding	9247	baxter;darcy	2		ok	
ABCC9	ENSG00000069431	12	21797389	21942543	21950335	22094336	-1	protein_coding	145154	darcy	1		ok	
ABHD11	ENSG00000106077	7	73736091	73738864	73150424	73153197	-1	protein_coding	2773	baxter	1		ok	
ACD	ENSG00000102977	16	67657512	67660810	67691415	67694713	-1	protein_coding	3298	baxter;darcy	2		ok	
ACTR2	ENSG00000138071	2	65227714	65271253	65454887	65498387	1	protein_coding	43539	bajpai	1		ok	
ACTR3	ENSG00000115091	2	113889600	113962596	114647537	114720173	1	protein_coding	72996	bajpai	1		ok	
ACVR2A	ENSG00000121989	2	147844378	147930838	148602086	148688393	1	protein_coding	86460	baxter	1		ok	
ADAM10	ENSG00000137845	15	58588809	58749871	58887403	59042177	-1	protein_coding	161062	baxter;darcy	2		ok	
ADAM17	ENSG00000151694	2	9488482	9556732	9628615	9695921	-1	protein_coding	68250	baxter	1		ok	
ADAMTS20	ENSG00000173157	12	43352767	43552213	43747669	43945724	-1	protein_coding	199446	baxter	1		ok	
ADAMTS9	ENSG00000163638	3	64515652	64688264	64501333	64673676	-1	protein_coding	172612	baxter	1		ok	
ADAR	ENSG00000160710	1	154581695	154628013	154554538	154600475	-1	protein_coding	46318	baxter;darcy	2		ok	
ADCY4	ENSG00000129467	14	24318091	24335208	24787555	24804299	-1	protein_coding	17117	network	1	yes	ok	
ADCY5	ENSG00000173175	3	123282296	123449795	123001143	123168605	-1	protein_coding	167499	baxter	1		ok	
ADGRA2	ENSG00000020181	8	37784191	37844896			1	protein_coding	60705	baxter	1		hg38_only	not on a primary assembly / symbol unresolved
ADO	ENSG00000181915	10	62804720	62808479	64564516	64568238	1	protein_coding	3759	darcy	1		ok	
ADPRH	ENSG00000144843	3	119579268	119590165	119298115	119308792	1	protein_coding	10897	darcy	1		ok	
ADRB2	ENSG00000169252	5	148826611	148828623	148206156	148208196	1	protein_coding	2012	baxter	1		ok	
AEBP2	ENSG00000139154	12	19404045	19720801	19556979	19873735	1	protein_coding	316756	baxter	1		ok	
